,cancerType
samp281_c4ffc907_8632_494f_8030_0dcc74af3d9c_BRCA,BRCA
samp282_2c656e08_c935_4ed7_bdd8_253e201a1f3a_LECA,LECA
samp283_e77d551e_ab05_4701_a52a_b4f0bf817b1a_LECA,LECA
samp284_bd1b939d_a361_448b_90c5_da43fd3a5f0c_LECA,LECA
samp285_d1ddfa24_312e_438e_8caa_dea5ebc867f6_BRACA,BRACA
samp286_5abd486a_6aed_4dcf_a2a2_2537af6cdd9c_COCA,COCA
samp287_c870a971_0810_4e3e_9b8c_660fdb5eb422_KICA,KICA
samp288_8dd4883b_bd9e_4ca3_aa63_6d398c4740bd_LECA,LECA
samp289_76152526_c671_4a5d_8f4b_41910144e2c3_LECA,LECA
samp290_6945244c_6fe3_4ad1_8dc0_beb7e2806132_LECA,LECA
samp291_ddf2a134_72f0_4394_99d0_a3448c7e131a_BRACA,BRACA
samp292_fed54b8e_a654_40df_98be_53f29c7fd3c9_LECA,LECA
samp293_e8c97501_d59d_43c8_8b2b_6bb31635e929_KICA,KICA
samp294_64499b79_1354_4277_9142_40f388fa6e92_LUCA,LUCA
samp295_09955b8c_efb3_4530_82eb_d9fe57e8564d_KICA,KICA
samp296_7bfe8d8a_61bf_4ee7_9749_209858e74b5f_COCA,COCA
samp297_42d2af38_a0d8_4b15_8e84_8cb8d380a9a0_LECA,LECA
samp298_9c802194_6928_44e1_b62d_20f1b61caea5_BRCA,BRCA
samp299_7453be05_5783_4069_b77e_d7954ff26930_LECA,LECA
samp300_b9bfdf3b_d23e_433b_892f_1b61e24abdfa_BRCA,BRCA
samp301_772dcecf_b53d_42e2_8161_f48030150aa0_LUCA,LUCA
samp302_43cbaaa5_5fe3_4e36_9283_522ab032e089_LECA,LECA
samp303_db6b5625_c6d0_4c34_844d_bd534e2b78fe_KICA,KICA
samp304_8ce6ef7b_7833_4994_a51b_ec59ddcab93d_LECA,LECA
samp305_adc5d3b6_e636_43ac_81a9_55b22e45228e_LECA,LECA
samp306_134721fc_81be_445c_8c70_9899fdee6e06_LECA,LECA
samp307_7bd0a15f_202f_44c4_8947_8ba06fa2e9a2_BRACA,BRACA
samp308_ad2fedf5_98dc_4efb_9550_5c038443841f_LECA,LECA
samp309_e923c7e0_2e7d_4db2_96ed_af3a3080b8bd_LUCA,LUCA
samp310_9fadf229_c49f_4b92_ae15_7c0c61e8e593_KICA,KICA
samp311_549dc2f0_a1eb_48e8_a2ec_0358aed81054_KICA,KICA
samp312_b0c81966_4fbe_4da1_8b34_136b2de095c5_LUCA,LUCA
samp313_9e7cb048_8476_4a25_b61c_9f7f8d490571_LUCA,LUCA
samp314_efc1eb3b_e32e_48bb_a2ae_c1542eae5252_LUCA,LUCA
samp315_4e7ec7e9_0e90_4646_9fb8_85745723028d_LECA,LECA
samp316_f2ef991f_dad0_4f81_9f46_e6c59594f178_LUCA,LUCA
samp317_dd262648_2f73_4b4f_aac5_5a2c5f2c6dc5_BRACA,BRACA
samp318_1eb9bd2a_9d0d_4dd6_8e91_8eca788861d1_LUCA,LUCA
samp319_069cb769_11bd_4f16_94e1_8ecd566dbaec_LUCA,LUCA
samp320_5f173a3c_89f0_41c9_bbd8_5256a0489d4e_BRCA,BRCA
samp321_65b4f81a_4439_4d82_ae25_68d63309b053_BRCA,BRCA
samp322_799a8267_3df9_48fe_a2fa_e9f7cd19f283_LECA,LECA
samp323_b8e7ec32_44fc_4b0e_a030_ac6e42349666_LECA,LECA
samp324_996bd4b6_e9a9_475c_8794_be2082131a9f_LUCA,LUCA
samp325_db8eecfa_4ab7_44b2_897a_fce79f4bed5a_LECA,LECA
samp326_a9a46a89_eb11_4341_aac8_493699d4f03b_LECA,LECA
samp327_e6864165_a8d3_4089_af3d_4c4aba5db0aa_BRACA,BRACA
samp328_7b98baf4_720e_4713_9527_eab606f27177_LECA,LECA
samp329_a455fca4_feff_453a_8b7d_3d09b40bd542_LECA,LECA
samp330_7d7115b3_d2fb_4c28_9198_45d80019a776_LECA,LECA
samp331_b6ee88b3_46d3_4ec6_b97c_3ca98e3c0f56_COCA,COCA
samp332_79340ce9_2e4f_47c3_8ab6_83b3bf03cf06_LECA,LECA
samp333_ee82b705_e117_46ba_81eb_bad429c3f9ce_COCA,COCA
samp334_e0819bee_5642_4297_b6bb_70e41d54ee8c_LUCA,LUCA
samp335_8dbdbb8d_cb43_42b3_a653_e8575a22daf5_LUCA,LUCA
samp336_9cdfbc8a_c640_4e27_922c_053bc7fce262_BRACA,BRACA
samp337_dd20ba28_9db9_4c5f_8be9_4b419cee47a5_LECA,LECA
samp338_e2f47d3a_0e1a_47cb_a53f_697e2a3cb89b_LUCA,LUCA
samp339_391c24a7_6990_4b15_8a42_7de60580169d_LECA,LECA
samp340_98967392_eeb4_4c7f_8578_1faf0e5dc3d6_KICA,KICA
samp341_57d89d75_a9bb_4bd3_af76_d29def9a9625_LUCA,LUCA
samp342_6183a6eb_8d7f_44e9_8e59_5e74ddb7426c_LUCA,LUCA
samp343_f053a1a1_718a_46bd_a761_8ed3511aeb57_BRACA,BRACA
samp344_f20e5b5d_c132_46dd_906f_c46c5c2e6a34_BRACA,BRACA
samp345_c56a5910_5ae3_434a_9093_a4b264a644fd_KICA,KICA
samp346_2668105e_1ead_4371_b4dd_c841fa808d1c_KICA,KICA
samp347_1e0f16e6_de1c_4d1e_b1f6_5fabbea1591b_COCA,COCA
samp348_ed00fd94_9534_4bde_bf77_6f40ecbd4caa_KICA,KICA
